time,co2_emissions,T
1750,,0.0053671258205
1751,,0.034542956270567825
1752,,0.05476786166582169
1753,,0.06704750086607812
1754,,0.07287957676225716
1755,,0.07290366012638262
1756,,0.05589980750762523
1757,,0.038647141377643496
1758,,0.0416357973020786
1759,,0.055778857812696245
1760,,0.07295987765618639
1761,,0.08807027658926928
1762,,0.04207856365382741
1763,,-0.03112148160115757
1764,,-0.050419180613399554
1765,,-0.036406321751331745
1766,,-0.03714605656351233
1767,,-0.05737220691105032
1768,,-0.055920505181146975
1769,,-0.026725248708034992
1770,,0.001164546447229218
1771,,0.021909371841444404
1772,,0.04341475744730887
1773,,0.06207511981561462
1774,,0.07429498029668975
1775,,0.08041912723196393
1776,,0.08248959711815129
1777,,0.0834613867038548
1778,,0.08713706755567549
1779,,0.09641016537298604
1780,,0.10978652043414185
1781,,0.12254642112792194
1782,,0.13123596171929308
1783,,0.022755276358688816
1784,,-0.2864310655984604
1785,,-0.5040412416225398
1786,,-0.4992591118897915
1787,,-0.4230620399783186
1788,,-0.3253547207897556
1789,,-0.226899604037633
1790,,-0.13980327790749122
1791,,-0.06988569890990032
1792,,-0.016757722838850523
1793,,0.022039047186107358
1794,,0.048636780962570986
1795,,0.0654501580789129
1796,,0.06666071491017962
1797,,0.050949388446170765
1798,,0.03754832997285932
1799,,0.037725418065312426
1800,,0.045762264125991554
1801,,0.05718261946927761
1802,,0.07013692227200541
1803,,0.08303237936600469
1804,,0.09443943875622547
1805,,0.10318645008308384
1806,,0.10894393490854187
1807,,0.11180558336886015
1808,,0.11204780317836893
1809,,-0.11160925753566786
1810,,-0.4257773231786864
1811,,-0.5101695479509801
1812,,-0.44604262710901554
1813,,-0.3481556698534854
1814,,-0.25434167108098216
1815,,-0.3936691509811455
1816,,-0.7632074090084969
1817,,-0.9311960789405753
1818,,-0.8299668230872352
1819,,-0.6636056904561468
1820,,-0.5060347959119981
1821,,-0.3819543640845773
1822,,-0.29037808032249074
1823,,-0.24077378782272155
1824,,-0.20595113104822718
1825,,-0.15398159122710461
1826,,-0.09892259519215252
1827,,-0.049002113827500283
1828,,-0.007077780514113917
1829,,0.02595049966869421
1830,,0.050264442695522306
1831,,-0.08499875868106228
1832,,-0.28604882726814423
1833,,-0.33406640631147205
1834,,-0.28473190488922184
1835,,-0.32395927015569786
1836,,-0.40698502841459433
1837,,-0.3816734348681609
1838,,-0.29414948234787297
1839,,-0.20294128537959852
1840,,-0.12626981598169465
1841,,-0.06705235904399845
1842,,-0.02378596576564028
1843,,0.006698338422565772
1844,,0.02820816409954643
1845,,0.044240105457910094
1846,,0.04628833753077356
1847,,0.04260207330479067
1848,,0.04960752523123739
1849,,0.0631189339764432
1850,,0.07749513663757268
1851,,0.09000765493948741
1852,,0.09949908377843866
1853,,0.09610351765535771
1854,,0.08118930696869439
1855,,0.07494721477711669
1856,,0.07777679145871058
1857,,0.07069855554352525
1858,,0.06553716634816385
1859,,0.07531702507957845
1860,,0.0898559950788444
1861,,0.0988266536123597
1862,,0.05592418581508797
1863,,0.0029183104822709076
1864,,0.0009857988912118643
1865,,0.022971627317214475
1866,,0.048078577691147054
1867,,0.07012091265111677
1868,,0.0889003060946104
1869,,0.10572292786016368
1870,,0.1203019773188915
1871,,0.13272146078859093
1872,,0.1424526187284897
1873,,0.13560882149413223
1874,,0.12592443118786595
1875,,0.12622994266759271
1876,,0.12705148938445537
1877,,0.13059531940359423
1878,,0.13653025276571296
1879,,0.14231282718480234
1880,,0.14524346867464144
1881,,0.14711479857776782
1882,,0.1525656569442245
1883,,0.11920350982058214
1884,,-0.023360721341699465
1885,,-0.13593389300936085
1886,,-0.12648580754726832
1887,,-0.08624062054060497
1888,,-0.041510593556193236
1889,,0.005276450931666253
1890,,0.03465982036539465
1891,,0.041777180737673794
1892,,0.05391055383189564
1893,,0.08375061990302372
1894,,0.11649233554545899
1895,,0.14233843292271126
1896,,0.16019307760728585
1897,,0.17207820734379536
1898,,0.18036672078372912
1899,,0.18599749054287437
1900,,0.18972056472335802
1901,,0.19222993173137712
1902,,0.1811469158601081
1903,,0.12197956308433698
1904,,0.06829940128791061
1905,,0.07246448783305455
1906,,0.10181287130390752
1907,,0.12182395706221126
1908,,0.136141859940687
1909,,0.15748758963661094
1910,,0.1765824084011955
1911,,0.19069491909880493
1912,,0.16834818175014885
1913,,0.12602820320461933
1914,,0.11698191675283225
1915,,0.13923252234288908
1916,,0.17064585281978617
1917,,0.19955923745113954
1918,,0.2244114710528615
1919,,0.24463211643710453
1920,,0.25858091695167035
1921,,0.2685650806087585
1922,,0.26852913683753393
1923,,0.2637003573112012
1924,,0.26788016460391934
1925,,0.27745644687985666
1926,,0.28823578550733214
1927,,0.2997146495412186
1928,,0.3075047967753593
1929,,0.3004540122132891
1930,,0.2991546056199093
1931,,0.3115478787587414
1932,,0.3118678250181792
1933,,0.31122031059959526
1934,,0.3205995523607633
1935,,0.33169741122691776
1936,,0.34503728536421224
1937,,0.3586075589367356
1938,,0.36995659098793693
1939,,0.3795272558322438
1940,,0.38563796475873713
1941,,0.38846191948172604
1942,,0.3895815838059978
1943,,0.38961980683372477
1944,,0.39053660132462337
1945,,0.3962689062895488
1946,,0.40603093958379033
1947,,0.4172634290931791
1948,,0.42925503831612016
1949,,0.4400188698462344
1950,,0.4465166870589208
1951,,0.44732321466908287
1952,,0.4464759196531096
1953,,0.4468440858986982
1954,,0.4487810985661662
1955,,0.45335528098573163
1956,,0.46286682103755106
1957,,0.4784965884400472
1958,,0.4963101093844325
1959,,0.510695912217569
1960,,0.5205567775642247
1961,,0.5233899475788982
1962,,0.510215784611902
1963,,0.44055692315935924
1964,,0.3558823893345607
1965,,0.3230683539029071
1966,,0.3437629412619973
1967,,0.37522020793736555
1968,,0.3987557158431192
1969,,0.431925796645889
1970,,0.46527365853873276
1971,,0.4858776260988694
1972,,0.5045792646438065
1973,,0.5342176762196373
1974,,0.5584425285271772
1975,,0.561559545609632
1976,,0.5701995506636635
1977,,0.6009055718690918
1978,,0.6402597646836676
1979,,0.6811465472239879
1980,,0.716087137066097
1981,,0.7447509280175179
1982,,0.7502379573500906
1983,,0.7139120958871134
1984,,0.689570996273421
1985,,0.7108834322219004
1986,,0.7454945357274183
1987,,0.7825341243482449
1988,,0.8267434152788591
1989,,0.8769978234870596
1990,,0.9255415955920812
1991,,0.9282468174809777
1992,,0.8295349380060659
1993,,0.7469978975735373
1994,,0.7752842621168803
1995,,0.8471983429078073
1996,,0.9192307861291122
1997,,0.9842849968199224
1998,,1.0448262813514146
1999,,1.1022421321657287
2000,,1.1546221876304157
2001,,1.1992974213946475
2002,,1.2379665054067193
2003,,1.2679960479437633
2004,,1.289664625484666
2005,,1.3060195525718992
2006,,1.3184188401763737
2007,,1.3309957334382239
2008,,1.3465848801210472
2009,,1.3640094825659657
2010,,1.3857403812279288
2011,,1.4106884291120547
2012,,1.4376146417186275
2013,,1.4683940590645277
2014,,1.4991464612642393
2015,,1.527868050851642
2016,,1.5544966914716627
2017,,1.5808403840499248
2018,,1.6068307296873712
2019,,1.6316854817419852
2020,10.82310196,1.655766249660654
2021,10.36375757,1.6802991197013326
2022,9.904413182,1.7065592000509935
2023,9.445068791,1.7328508749429525
2024,8.9857244,1.7569471554640177
2025,8.526380009,1.7763775063863088
2026,8.067035619,1.7899434316599672
2027,7.607691228,1.7983336880895693
2028,7.148346837,1.8031227898594122
2029,6.689002446,1.805134685556785
2030,6.229658055,1.805506504929471
2031,5.892311577,1.8051607541030974
2032,5.554965098,1.8044337425734054
2033,5.21761862,1.8049978494333274
2034,4.880272141,1.8084488618608492
2035,4.542925663,1.8130287843760793
2036,4.205579184,1.8173663364130164
2037,3.868232706,1.8201600418177841
2038,3.530886227,1.8208248241306058
2039,3.193539749,1.819257345581285
2040,2.85619327,1.8147069692758127
2041,2.626480189,1.8077545175047491
2042,2.396767108,1.7996470312905766
2043,2.167054026,1.7918535483156453
2044,1.937340945,1.7852729425012777
2045,1.707627863,1.7814577948350947
2046,1.477914782,1.780346613988434
2047,1.2482017,1.7808732418643556
2048,1.018488619,1.7813954252592237
2049,0.788775538,1.7791913265901105
2050,0.559062456,1.7728489352502896
2051,0.461548076,1.763687537638909
2052,0.364033697,1.7533990547324045
2053,0.266519317,1.7426048822654177
2054,0.169004937,1.732577301679564
2055,0.071490558,1.724929664917016
2056,-0.026023822,1.7203083485934338
2057,-0.123538202,1.7169133445602247
2058,-0.221052581,1.7133903701704234
2059,-0.318566961,1.7099084688226824
2060,-0.416081341,1.7050272596292153
2061,-0.496544649,1.6980410742929273
2062,-0.577007957,1.6898458823826767
2063,-0.657471266,1.6814379623565496
2064,-0.737934574,1.6735657859289979
2065,-0.818397882,1.6667611720381355
2066,-0.898861191,1.6624683569766554
2067,-0.979324499,1.6611041892805969
2068,-1.059787807,1.6612167792842258
2069,-1.140251116,1.6607648811806557
2070,-1.220714424,1.6582743914986446
2071,-1.297928123,1.6533177644235324
2072,-1.375141823,1.646758770805586
2073,-1.452355522,1.6396960644471532
2074,-1.529569222,1.6321593071730534
2075,-1.606782921,1.6244355217751834
2076,-1.683996621,1.6169072012495564
2077,-1.76121032,1.6101376675658492
2078,-1.83842402,1.605164367831336
2079,-1.915637719,1.6022450004495634
2080,-1.992851419,1.6006516475819925
2081,-2.081637792,1.5991042951177215
2082,-2.170424166,1.5968017670441308
2083,-2.25921054,1.5929972567731283
2084,-2.347996913,1.587749855630102
2085,-2.436783287,1.580919231634125
2086,-2.52556966,1.5726062032405526
2087,-2.614356034,1.5642367087594466
2088,-2.703142407,1.5565178701266955
2089,-2.791928781,1.5502601542562549
2090,-2.880715155,1.5465089466617294
2091,-2.971369953,1.5448546800589364
2092,-3.062024751,1.5447842586502105
2093,-3.152679549,1.5441326627182874
2094,-3.243334347,1.5404308881823694
2095,-3.333989145,1.5340084802639693
2096,-3.424643943,1.5255211054387627
