,Country,Region
0,BGD,Southern Asia
1,GRC,Southern Europe
2,DEU,Western Europe
3,ESP,Southern Europe
4,AFG,Southern Asia
5,DZA,Northern Africa
6,IND,Southern Asia
7,CHN,Eastern Asia
8,IDN,South-Eastern Asia
9,BEL,Western Europe
10,FRA,Western Europe
11,ETH,Eastern Africa
12,GBR,Northern Europe
13,GHA,Western Africa
14,CYP,Western Asia
15,BEN,Western Africa
16,HUN,Eastern Europe
17,BWA,Southern Africa
18,CAF,Middle Africa
19,EGY,Northern Africa
20,AUT,Western Europe
21,CHE,Western Europe
22,DNK,Northern Europe
23,BFA,Western Africa
24,DJI,Eastern Africa
25,JPN,Eastern Asia
26,MUS,Eastern Africa
27,PHL,South-Eastern Asia
28,KOR,Eastern Asia
29,SOM,Eastern Africa
30,THA,South-Eastern Asia
31,TUN,Northern Africa
32,JOR,Western Asia
33,MAR,Northern Africa
34,MMR,South-Eastern Asia
35,KEN,Eastern Africa
36,LKA,Southern Asia
37,PAK,Southern Asia
38,SAU,Western Asia
39,TUR,Western Asia
40,TZA,Eastern Africa
41,ITA,Southern Europe
42,MYS,South-Eastern Asia
43,IRN,Southern Asia
44,LAO,South-Eastern Asia
45,MNG,Eastern Asia
46,SEN,Western Africa
47,TGO,Western Africa
48,IRQ,Western Asia
49,MOZ,Eastern Africa
50,MWI,Eastern Africa
51,PRT,Southern Europe
52,SYR,Western Asia
53,MDG,Eastern Africa
54,NPL,Southern Asia
55,ROU,Eastern Europe
56,NLD,Western Europe
57,NER,Western Africa
58,RWA,Eastern Africa
59,SDN,Northern Africa
60,SLE,Western Africa
61,SWE,Northern Europe
62,OMN,Western Asia
63,POL,Eastern Europe
64,TCD,Middle Africa
65,NGA,Western Africa
66,VNM,South-Eastern Asia
67,ZAF,Southern Africa
68,YEM,Western Asia
69,ZWE,Eastern Africa
70,ZMB,Eastern Africa
71,BGR,Eastern Europe
72,GIN,Western Africa
73,CPV,Western Africa
74,COM,Eastern Africa
75,GNB,Western Africa
76,CMR,Middle Africa
77,GAB,Middle Africa
78,IRL,Northern Europe
79,LUX,Western Europe
80,MRT,Western Africa
81,LSO,Southern Africa
82,LBN,Western Asia
83,MDV,Southern Asia
84,ISL,Northern Europe
85,MLI,Western Africa
86,RUS,Russian Federation
87,SWZ,Southern Africa
88,AGO,Middle Africa
89,BDI,Eastern Africa
90,CIV,Western Africa
91,ALB,Southern Europe
92,BLR,Eastern Europe
93,FIN,Northern Europe
94,NOR,Northern Europe
95,ISR,Western Asia
96,KHM,South-Eastern Asia
97,ERI,Eastern Africa
98,KAZ,Central Asia
99,LTU,Northern Europe
100,COD,Middle Africa
101,TJK,Central Asia
102,UKR,Eastern Europe
103,TKM,Central Asia
104,BTN,Southern Asia
105,COG,Middle Africa
106,AZE,Western Asia
107,ARM,Western Asia
108,MDA,Eastern Europe
109,GEO,Western Asia
110,LBR,Western Africa
111,LBY,Northern Africa
112,MKD,Southern Europe
113,CZE,Eastern Europe
114,GMB,Western Africa
115,KWT,Western Asia
116,KGZ,Central Asia
117,UGA,Eastern Africa
118,SVK,Eastern Europe
119,BIH,Southern Europe
120,LVA,Northern Europe
121,HRV,Southern Europe
122,NAM,Southern Africa
123,TLS,South-Eastern Asia
124,EST,Northern Europe
125,UZB,Central Asia
126,SVN,Southern Europe
127,MNE,Southern Europe
128,SRB,Southern Europe
129,ARE,Western Asia
130,QAT,Western Asia
