,Country,Alpha_flood_occurences,Beta_flood_occurences,Alpha_storm_occurences,Beta_storm_occurences
0,BGD,1.203865074425214,-0.45511329998073413,1.718281694639424,-0.4808893346113613
1,HKG,0.047288537560358945,-1.4989333677132213,0.5765156118454952,-0.8250006216432917
2,GRC,-0.9401200329729817,0.4985611379586849,-0.916491265623468,-0.6211659304269023
3,DEU,-0.4684300017665514,-0.2177796058373572,0.1726315149607832,0.018128584754765833
4,ESP,-0.9938788094637373,0.505556375403626,-0.4683156746193315,-0.043506011156831045
5,AFG,-0.8326293573925717,1.3858143673028511,-1.3844012696831924,0.046470656873981324
6,DZA,-0.1884399234578716,0.1897349036230006,-0.9634381361644984,-1.0123636447184865
7,IND,0.916284138456278,0.7715393704529343,0.32380901118628597,0.7294580096631428
8,CHN,0.9489038428040637,0.8529671149879771,1.5146094730179887,0.44840732511301257
9,IDN,-0.09355349873269732,1.443285959132308,-1.1655032317755996,-0.49256492056041135
10,BEL,-1.1589547120922292,-0.17199485484811547,-1.642546033692354,0.4932701870292385
11,FRA,-0.19111243386141658,0.33850230738924536,-0.13364113757261054,0.5020804244859647
12,ETH,0.2684260387369977,0.03707869371469853,-1.601750419436331,-1.6654348686890534
13,GBR,-0.4869398232465203,0.32554302010568575,0.37114062876811077,-0.370839186186642
14,GHA,-1.324888481204991,0.7553222883669877,-1.5747892686211886,-1.178760160079715
15,CYP,-1.5809889507739425,-1.6738830015230406,-1.3167310402813712,-1.1284512689693216
16,BEN,-0.25354369264666754,-0.4206998321094268,-1.4523323767789689,-1.3101215037140246
17,HUN,-0.7694293825995058,-0.09480298647300385,-1.354631468718,-0.18580723230087448
18,BWA,-1.056885364202521,-0.1851095446623065,-1.468621352388299,-1.3295000951206537
19,CAF,-0.8474206248694118,0.026351432577974225,-1.4808774239553932,0.1258534246653971
20,EGY,-0.5066301025362044,-0.7068747018146758,-1.1020329272293699,-0.41079864532582167
21,AUT,-0.5021881659131536,-0.4216266569550251,-0.2978512133882095,-0.4467023997494394
22,CHE,-0.8014988432744405,-0.8506920845999169,0.14191891079976796,-0.3973557508691866
23,DNK,-1.5895885528895728,-1.6423010503626914,-0.5792320613820544,-0.5621374059718431
24,BFA,-1.1579562717885874,0.5163018959517843,-1.5901538966363091,-1.6856968803663368
25,DJI,-0.9098169918090366,-0.7509298440553468,-1.261187050273123,-1.1647219244063725
26,JPN,-0.6655349141095611,0.4150195553312607,0.20348968388661032,0.7505202047567928
27,MUS,-1.5058228480209928,-1.2490078134956393,-0.5493463541373245,-0.870825900433721
28,PHL,0.4537466844210735,0.6514847246476865,1.3900122503804868,0.42016858162893284
29,TWN,-1.620588238597855,-1.6700512169177442,-1.5984231679806848,-1.6589004663371718
30,KOR,-0.27123131555591856,-0.12025567349160522,0.062100795915677846,0.07685691364070085
31,SOM,-0.5753667245620564,0.5822353983656835,-1.5416774897716359,0.008194920552326013
32,THA,0.13954092772454726,0.449996008857254,0.06214115246594552,-0.0678637724285916
33,TUN,-1.1264771444447734,-0.11648244127545707,-1.579625313810753,-1.6807886537141008
34,JOR,-0.9652694026829383,-0.823650012135299,-1.0440882578706994,-1.166482973500125
35,MAR,-0.543442016205539,0.017832466423875978,-1.2092667652621498,-0.7642588258692703
36,MMR,-1.4517646877491404,1.0248707840586713,-1.3410684215869524,-0.005005473337190932
37,KEN,-1.2148596009405326,1.2742444187474178,-1.245602801501472,-1.5998653065035455
38,LKA,-0.3577355484959174,0.7035739862317185,-1.2764245521245436,-0.14761832052706841
39,PAK,-0.8082067890070334,1.3626343745073606,-0.3641270380755156,-0.18396518903384743
40,SAU,-1.662374932952313,0.9989654098179349,-1.5288720889916518,-1.2334360916153193
41,TUR,-0.5834153942479151,0.4800432128014272,-1.0393118154355834,-0.28805009403108
42,TZA,-0.5623491852591743,0.6290219757536488,-1.1984727025458184,-0.614991865109178
43,ITA,-0.6620546501721123,0.6499775923775867,-0.96549160826692,0.427797230507882
44,MYS,-1.1921016575520897,1.2541594332223536,-1.0361726690303812,-0.629155899490138
45,IRN,1.0318730005090615,-0.2721971266719871,-0.6590482206046132,-0.5721152736754687
46,LAO,-0.7586523439844103,0.16445973478683315,-1.10124760520984,-0.140901658701944
47,MNG,-1.3641322068791517,0.018846468666561353,-0.8588588977184615,-0.22088264973545255
48,SEN,-0.717737234658,0.08322410539097123,-1.1128138648405341,-1.0908275034722161
49,TGO,-0.747345322269876,-0.25003325416950806,-1.5839783276069686,-1.6402497471543724
50,IRQ,-1.6336220573834719,0.4956108181521054,-1.5934676461716188,-1.664262459099962
51,MOZ,-1.2152291625829166,0.944926246410901,-0.6176591698912695,0.0818403939755174
52,MWI,-0.8846461327788993,0.7626589056650402,-1.4246336630669192,-0.7353825701513512
53,PRT,-1.2254395239186897,-0.30499895132151816,-1.1025555413108599,-0.07843597784681743
54,SYR,-1.5094116932199513,-0.937271497648467,-1.3650239057145603,-0.5837807328660419
55,MDG,-1.1466189201508625,-0.19064524089359258,-0.561180142360349,0.6648924095330817
