Region,Alpha_Flood,Beta_Flood,Alpha_Storm,Beta_Storm
Southern Asia,0.1331,3.3307,0.1037,2.4043
Eastern Asia,0.1174,1.587,0.1286,1.8908
Southern Europe,0.1033,33.8577,0.0709,0.3681
Western Europe,0.101,27.1475,0.0759,0.5197
Northern Africa,0.0,0.0,0.0,0.0
South-Eastern Asia,0.1071,13.6267,0.1408,1.6379
Eastern Africa,0.1045,7.241,0.0863,0.5522
Northern Europe,0.0,0.0,0.0691,0.2867
Western Africa,0.0996,11.255,0.0,0.0
Western Asia,0.0948,7.9447,0.0686,0.3645
Eastern Europe,0.0961,3.0023,0.0875,3.3786
Southern Africa,0.0865,2.9568,0.0678,0.368
Middle Africa,0.0909,5.1312,0.0688,0.3679
Russian Federation,0.0983,20.6031,0.0,0.0
Central Asia,0.085,2.0485,0.0,0.0
